*** lui===1
000 francs===5
100 drachmes===1
100 francs===1
12 francs===1
12^e duc===1
14 juillet===1
14 septembre===2
14^e ducs===1
15 au===1
15 centimes===1
15 octobre===1
1789 est===1
17^e prince===1
3 et===1
4 sur===1
43 francs===1
45 francs===1
500 francs===2
9 h===3
A-t-elle été===1
A-t-on jamais===1
Acheter de===1
Actuellement non===1
Adam pour===1
Admirant tout===1
Adonis contre===1
Affaire Dreyfus===1
Affaires commerciales===1
Affaires étrangères===1
Affirmations auxquelles===1
Affolé par===1
Aglaé et===1
Ah bien===1
Ah il===1
Ah mon===1
Ah non===1
Ah pardon===1
Ah voyez===1
Ailleurs une===1
Aimé avait===1
Aimé l’avait-il===1
Aimé l’avait===1
Aimé m’avait===1
Ainsi c’était===1
Ainsi je===1
Ainsi la===1
Ainsi les===1
Ainsi m’était===1
Ainsi nous===1
Ainsi n’avait-elle===1
Ainsi perdent===1
Ainsi que===1
Ainsi rien===1
Ainsi sans===1
Ainsi succédant===1
Ainsi tenez===1
Ainsi échangeâmes-nous===1
Albaret par===1
Albert de===1
Alberti qui===1
Albertine Je===1
Albertine admira===1
Albertine aimait===1
Albertine allait===4
Albertine aller===1
Albertine assise===2
Albertine au===2
Albertine aujourd’hui===1
Albertine auprès===2
Albertine aurait===1
Albertine aussi===4
Albertine avait-elle===1
Albertine avait===18
Albertine avant===1
Albertine avec===1
Albertine car===2
Albertine ce===2
Albertine ces===1
Albertine cette===1
Albertine chez===1
Albertine chérie===1
Albertine cloîtrée===1
Albertine comme===3
Albertine continuait===1
Albertine croyait-elle===1
Albertine crut===1
Albertine dans===1
Albertine de===14
Albertine demain===1
Albertine des===1
Albertine devait===1
Albertine devenue===1
Albertine disait===2
Albertine dormait===1
Albertine d’aller===1
Albertine d’aujourd’hui===1
Albertine d’autres===1
Albertine d’un===2
Albertine d’être===1
Albertine elle-même===1
Albertine employait===1
Albertine en===6
Albertine endormie===1
Albertine entièrement===1
Albertine et===13
Albertine eut===1
Albertine eût===1
Albertine faisait===1
Albertine gentille===1
Albertine glissait===1
Albertine ici===1
Albertine ignorant===1
Albertine image===1
Albertine irait===1
Albertine la===5
Albertine laissait===1
Albertine le===3
Albertine les===2
Albertine lui===1
Albertine l’admira===1
Albertine l’affection===1
Albertine l’attendait===1
Albertine l’avait===1
Albertine me===10
Albertine mentait===1
Albertine mes===1
Albertine mon===1
Albertine m’a===1
Albertine m’aurait===1
Albertine m’avait===6
Albertine m’effrayait===1
Albertine m’empêcherait===1
Albertine m’échapperait===1
Albertine ne===15
Albertine nouait===1
Albertine n’ait===1
Albertine n’aurait===2
Albertine n’avait-elle===1
Albertine n’avait===10
Albertine n’est===1
Albertine n’eût===1
Albertine n’était===5
Albertine ou===1
Albertine oubliait===1
Albertine parce===1
Albertine parla===1
Albertine partout===1
Albertine peu===1
Albertine peut===1
Albertine pourrait===1
Albertine pourtant===1
Albertine pouvait===1
Albertine prononçait===1
Albertine quand===1
Albertine que===18
Albertine qui===8
Albertine quiconque===1
Albertine qu’elle===1
Albertine rabaissait===1
Albertine regarda===1
Albertine remise===1
Albertine renouvelait===1
Albertine revenait===1
Albertine revint===1
Albertine rougit===1
Albertine sa===1
Albertine savait===2
Albertine semblait===2
Albertine seule===4
Albertine siffler===1
Albertine sortie===1
Albertine sortir===1
Albertine soustraite===1
Albertine sur===3
Albertine s’instruit===1
Albertine s’était===3
Albertine toute===1
Albertine un===2
Albertine une===6
Albertine venait===1
Albertine vint===1
Albertine vous===1
Albertine vînt===1
Albertine à===12
Albertine émettait===1
Albertine était-elle===1
Albertine était===11
Albertine étendue===1
Allant d’une===1
Allemagne préhistoriquement===1
Allemands appellent===1
Allons dire===1
